,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63,dim64,dim65,dim66,dim67,dim68,dim69,dim70,dim71,dim72,dim73,dim74,dim75,dim76,dim77,dim78,dim79,dim80,dim81,dim82,dim83,dim84,dim85,dim86,dim87,dim88,dim89,dim90,dim91,dim92,dim93,dim94,dim95,dim96,dim97,dim98,dim99,classe
10,1.883596,0.99144894,-0.89625067,0.101441376,-0.8512242,1.1435928,-0.27329627,0.9988858,0.18904728,-0.8760315,-0.75771075,-0.7654435,1.1481048,0.9502977,-0.13813893,-0.8520829,-0.8686955,1.0073154,0.1455033,-0.98783094,1.4532602,-0.28052846,0.5964996,1.073322,-0.14589785,0.9336017,0.4404533,-0.33499143,-1.8698041,-0.51814824,0.12618026,-2.0230467,-0.27352843,-1.1079357,1.0702513,0.5188963,-0.8052358,0.7366046,0.6008482,-1.5382704,0.3044332,0.13865659,0.1874755,0.2215198,0.29251364,-1.4509923,-1.0360202,-1.6485691,0.22982882,-0.51427376,0.24408138,0.16625652,0.92252105,0.023733245,-0.16629764,-0.5990056,0.37659466,1.245849,-1.533707,0.19937919,0.8109703,-0.23281214,1.0627171,1.4199736,-0.019297756,-0.33601964,-0.8021477,1.3670744,-2.1755502,2.170339,0.87043035,0.023947924,-0.26231024,0.80307215,0.43403152,-0.314888,0.54352385,-0.51061034,-0.3362804,0.33210674,0.4789744,2.0222213,-1.2880543,-0.36344713,-1.1140794,0.23714393,0.531247,-0.2905419,0.0035626371,-0.44091266,-0.5226865,1.5995897,0.22523582,0.22286832,0.9945949,1.113539,-1.1550541,0.13694616,1.1295569,-1.7181178,1
11,-0.8626758,-1.8440243,0.44050342,0.05270051,-4.4125037,-0.9089943,-3.3014362,0.3594582,-1.4186094,1.1392407,-1.2650074,0.6495965,-0.8362877,-3.822422,1.697444,-0.8914694,1.2852266,-1.5327789,-0.952974,-3.6950617,-1.2597271,0.057005502,-0.9411995,-0.23890318,1.3717571,-1.5237823,0.73592,-1.5246911,-1.1749786,-1.6161592,1.176536,2.7291284,-1.1980269,-3.2647476,-0.0040735374,-0.23170736,-1.1133745,0.24554645,0.6587033,-1.1434438,-1.2125309,-0.20991105,-1.2002531,0.28094065,0.8155747,0.9427936,-2.1537492,-0.5132241,-1.0107095,2.302721,-3.1608644,-3.3535888,-1.3203766,0.10455693,0.3356877,4.1396174,-1.1292828,-3.4061105,-1.5613708,0.7088993,0.5520572,0.16386843,1.6274483,-1.7558453,-0.28526214,0.40756866,0.5449371,-1.9977249,0.92528635,-0.14161584,0.12157327,0.11580252,-1.3891476,1.5998527,1.7534887,0.29958782,-3.3133755,-0.6764552,-3.760292,-0.64493936,-0.6571743,2.6989534,0.8851473,-0.20726986,-4.2272215,-3.935062,0.992711,0.7270612,0.13357532,-3.0676517,1.5787174,-0.64770424,1.3972646,0.007874922,-3.0012956,-0.9512977,4.2626414,0.0994737,1.0810288,-0.9117364,0
12,-0.6284826,1.1647574,-0.60831803,1.3592181,0.36844414,0.8965319,-2.7574515,2.2006152,-0.75114876,1.7170779,0.72355014,-0.31554133,-1.7423038,-0.995887,-4.3346167,-0.22428209,-0.8461046,0.94024307,0.28033704,-2.3140912,1.5858121,-2.215899,0.32567444,-1.3953565,2.2398224,2.2285452,0.5466701,2.426958,0.2635421,-2.107541,1.396993,1.8790365,1.6737863,-2.4738193,0.76890707,-0.15172505,2.5918365,-1.8631147,2.1049972,0.39427036,-0.40335026,0.03924327,-2.5089824,2.7895942,0.84844536,1.1589172,0.42911735,-1.384504,-1.7596176,-1.4427857,-1.7707335,-0.8086439,-0.57405055,0.42973697,-0.5074869,1.0958868,-0.37265822,2.6056163,-3.0928063,-1.0634586,1.7719363,-0.9330489,-2.3863041,-1.1956737,0.2036116,-0.3427469,0.37777105,0.6097961,-1.3498396,0.31771895,-0.85523105,-0.46310753,-0.422707,-0.40042272,1.452958,-1.0566866,-2.533745,-0.67695254,-1.1248227,-1.0581794,0.81085706,1.5122788,-1.6571857,-1.0926688,-2.6448479,-2.0668995,2.4769769,-1.8855929,-4.2111325,-2.1994805,0.001368654,1.7231514,-0.52169937,-1.7159097,1.4448293,-0.8503146,1.4931523,1.584714,-0.5332502,-1.6467923,0
13,-0.28143728,0.4759706,0.7894344,2.2852638,0.61422586,-0.38504338,-0.8669088,-0.37262475,-0.779968,-0.5097255,-1.3243514,-0.2986881,-0.49931175,0.8589649,-0.016081374,0.16470796,0.08703669,1.0031631,-0.15767463,-0.118804045,-0.20054683,-0.61548644,0.57958966,2.5763261,0.8265191,0.41610122,-0.38617203,-0.92235416,-0.7545561,0.29732054,2.2323306,-0.08398559,0.007867296,-0.19617547,-0.11152842,0.6891301,-1.0393683,0.051448997,-0.20363921,-0.5092571,0.09932318,-1.4352413,-0.68727785,0.3189341,-0.033427443,0.40792122,-0.19805108,-1.4911032,-1.2293149,-0.8298716,0.846724,-0.26243627,-1.2735875,-0.36493087,0.58630085,0.06781616,0.8364364,0.41310543,-0.9648936,1.0708754,-0.029958421,-0.42670137,0.85490537,-2.1766284,-0.90325934,1.5195107,0.9170626,-0.6643588,-2.1049843,-0.19718744,-0.2530426,0.12856635,0.471183,0.27428275,-0.047038615,-0.48792526,-0.36243355,1.4481515,0.08931623,0.07355038,0.29866678,0.5580042,-1.3331707,0.67514294,0.9660879,1.589018,0.62608606,0.9126045,1.2886984,-0.6727375,0.15950958,-0.36825266,1.4591161,0.17909275,0.26524833,0.3934755,0.26663265,0.19774072,-0.12012438,0.24090631,1
14,-0.31901252,0.7890165,-0.573473,-1.1332102,-0.22163768,0.030656736,-0.6095451,1.1863966,-0.79248285,-0.053192787,-1.6432362,-1.4324217,0.95261383,0.68091726,0.59014416,-1.4037106,0.036388777,-1.0947906,1.0485524,-0.8683177,-1.2543983,-2.6753654,0.542279,0.22414756,2.3847053,1.0416218,2.1895936,1.6273662,0.33174536,1.0234078,2.6119823,-1.2236356,-4.8144083,0.03692556,0.6042169,2.9099512,0.42789903,-0.8449765,0.25579444,1.0245677,-0.06208557,-3.56937,-0.62204945,-0.36941168,-0.09551218,0.79615843,0.25561905,-1.2514309,0.26079133,0.060115274,1.0070109,0.6135067,-0.92228144,-0.44057864,0.37994516,0.9511412,-0.7233313,0.7579511,-1.2709466,0.42177764,0.075804316,1.4588155,0.23367,1.5339735,1.2746252,1.4327955,-0.1015466,0.041791353,-0.1265611,1.1176411,-1.6776639,-0.9447081,1.2683277,-0.69428086,-1.7004038,-0.49330077,1.1434275,0.5046027,0.29038283,0.15677506,0.72424173,-0.41199198,-0.6888233,-0.79248655,-0.14868365,1.1418216,-0.16245042,1.7605414,1.7638153,1.1864551,-0.038637374,0.20615992,-1.1265224,0.5659169,-1.428682,1.7620881,1.1821959,0.67235804,1.8520449,-1.03856,1
15,0.59774977,2.1769538,-1.2244285,1.2669252,0.15615788,-2.98834,-1.5361391,1.6141769,1.3628442,1.2459235,-1.780959,1.1505202,-0.618837,-3.2005012,1.39728,-3.1415386,-0.7164402,0.5658762,-2.807101,1.025404,-0.064102374,-0.015647458,1.10246,1.7294006,0.40147558,-0.8266504,0.30157918,3.421029,2.4902823,-0.81623334,2.6911204,0.16442925,-3.4606757,1.4325106,-0.86965656,2.2523715,0.55262375,-4.8987937,0.5497843,1.0283699,-0.10866606,-3.9654708,-0.42985895,1.3106292,-2.5047445,-1.0196276,1.4808412,-0.11221092,-0.86911947,0.7361444,-0.06794038,-2.7035136,-1.0734087,0.014522953,2.3161044,-0.28672022,-3.8274221,1.0532534,-3.1324735,1.4027225,-1.4938375,-0.084111325,-1.4443089,1.0290655,-1.6429117,1.1348215,3.870601,5.5288434,2.9892175,-1.3661389,-1.2064681,-1.8604951,1.7386557,3.20856,1.8665744,0.6525116,-0.35737914,0.27587894,2.4953957,1.653307,-0.500414,2.6981037,-1.8182465,-0.6181866,-1.7151262,-1.9008951,0.74771816,0.04660727,2.818844,-2.0858958,1.2679837,2.500661,1.2901285,0.41958895,1.3045567,1.2024652,0.4759536,1.8944423,-0.04329206,-0.8985608,0
16,0.595754,1.1429977,-1.1838923,-0.44367874,0.5400548,-0.7020839,-0.5763405,2.6348333,0.1689867,0.031533435,-0.95800066,0.5846367,0.6427992,-1.3028483,0.3623984,-1.1372453,1.2458928,-0.34943077,0.48082262,-0.05589418,0.30294725,-1.3907132,1.1233755,-0.4437545,2.301469,1.0232193,1.053471,0.76845974,-1.4876382,0.47927484,2.0927088,-1.3018366,0.81187594,-1.701962,0.13904107,-0.7057236,0.899435,-0.997747,-0.9595042,1.7450631,0.35361618,-0.7897451,-0.1169356,2.068985,0.6818584,1.0230787,-0.1523375,-2.5892847,-0.08846424,-0.5701264,-1.5713191,-2.3428893,-0.47032,0.9084001,0.22168605,1.9369023,0.48374224,1.3176943,-0.7033152,0.7145105,-0.14739725,0.1126065,-0.98053586,2.1327453,0.23974882,1.2376359,-0.35139057,-0.41059354,-0.66557664,-0.42166284,0.7054003,-0.2357174,1.055667,-0.4467653,0.20434135,1.2855716,1.7111186,-1.1712091,-0.020076847,-0.86936015,-2.733,-0.8970261,-0.14569329,0.23091699,-2.0192585,0.48124325,1.3617038,0.3343726,-0.6603043,-0.94091916,-0.9652159,-0.12919979,-0.114822336,-0.69457966,0.45938814,0.3446945,-1.7331015,-0.55173594,2.3095064,-1.4895785,1
17,0.5334204,1.2809446,-0.26747403,0.52518433,0.1274037,0.07580808,-0.9732718,-0.19675466,-0.3652233,0.21654443,-2.574168,-0.9713354,-0.07170615,-0.1508799,-0.50558835,0.2765416,0.3097356,-0.2863847,0.26768112,-0.8179642,-0.11864294,-0.0933679,0.019510923,0.6203315,-0.06370847,-0.07464159,0.8844235,-0.37089658,-0.62190765,-0.65146923,1.082602,-0.344972,-1.2218635,-1.1865072,0.4912259,0.8885687,-1.2094985,0.13548264,-0.101473875,-0.44161376,0.7945451,-0.39058518,0.010404377,0.16716667,0.5833991,0.7584368,-0.0018987077,-1.0950792,-0.8502192,0.086123265,1.2806104,-0.58735955,-0.60561347,-0.12100347,0.56398046,1.0376774,0.9959875,-0.04452172,0.2319666,0.46161568,0.19727124,0.05688408,-0.6345052,-0.47065508,-0.06386298,0.92424417,0.38012353,-0.3965488,-1.0885377,-0.25895336,0.36507016,-0.59502685,0.48325664,-1.5483861,1.9064406,0.21398018,-0.048368596,1.05107,-0.9356494,1.1704727,-0.60690844,0.84472466,-0.5455637,0.04070872,-0.013780907,1.4449303,0.9805736,0.12674724,-0.19063732,-1.2405562,0.25935668,0.657588,0.3673707,0.34984443,-0.7027967,1.0250672,-0.17796837,0.43913808,0.36046985,-0.2788345,0
18,-1.1686032,-0.22021955,0.9356256,1.4908553,-0.33286554,-0.114721075,1.0467998,1.0437057,-2.9946861,0.9029454,-1.2601426,-1.9943343,-1.2547183,0.29506972,-0.25117233,-0.26839885,-0.8357131,0.99895406,-0.032856725,2.0773032,2.0094843,-1.7495087,0.110040866,-0.32000718,0.05261414,-1.2243199,0.84758383,-1.2800802,-1.775549,-0.73666394,1.7062778,-0.87809986,-0.59327966,0.6490938,-0.8085904,1.7069353,-0.44761392,0.114546314,-0.21990182,-1.2555196,0.28522247,-2.4967525,-1.020793,0.82462406,1.3043141,-1.1099466,-1.58179,-0.8120622,-0.27333865,-0.28440994,0.6896241,0.8773056,-1.9214196,-1.9950919,-0.13124081,0.22084317,0.40949783,-0.045032628,-0.033573948,-0.49958256,0.35218546,-2.3313859,-1.8073709,0.03737416,0.7908443,2.6222289,0.6372677,0.2473416,-1.3417411,0.07024424,-1.0181172,0.35796395,2.8516254,0.9596425,0.093099475,0.30973214,-1.7522441,-0.1059359,0.1578783,-1.3365707,-0.7140357,-0.067209594,0.27087063,-0.72408545,-0.9857507,-1.8138593,-0.31328243,-2.5301282,0.6105313,-0.85137033,0.5700176,0.42702466,0.95544624,-2.0282507,-0.3930576,1.7307242,-0.7972594,2.6682653,1.1493174,-0.23795657,0
19,-1.1628113,-0.72566664,0.50952184,1.9993827,-3.0368474,0.8228522,-1.1260588,0.5106152,-0.7148228,0.9901874,-1.5290111,0.9159887,-2.3188517,-1.3787984,0.034486614,-1.4415102,-0.18479908,2.4888482,-1.8814011,-0.057283532,-1.2435734,1.3126785,0.03884356,-0.06550007,0.1460875,-0.18757756,0.386573,0.7605654,-0.5868483,-1.9963778,1.0521022,-1.4410453,-0.918161,0.9277207,0.7675946,0.18456411,1.2040048,-0.708731,-1.3644308,-0.42577773,-1.1921135,1.3664303,-2.6009264,1.1801373,1.9844979,-0.8436373,-1.0889821,0.5531391,-1.1983443,-1.8771564,2.258709,-2.6263385,-3.0753155,-0.9605867,1.1161329,1.2668508,1.0074453,-0.7464077,0.27353534,0.52875423,-1.6313202,0.2591251,0.57038003,2.31112,0.42253628,2.0375988,-0.5568624,0.6057188,-2.5588834,1.5587931,-2.4428666,-2.444496,-0.43801367,0.73201615,0.15624805,3.585638,0.5195629,-0.058975264,-0.56541437,1.48143,0.32188082,-1.147628,-0.6723432,0.0593824,1.0596635,0.5580251,0.16063368,-0.74036276,1.6567447,-4.418859,2.0307236,0.96287745,0.53534013,-1.0755945,0.43128344,0.9592896,0.33514735,-0.5619219,-1.9819771,-1.0580304,0
